date,predicted_text
2020-02-07,104
2020-02-08,80
2020-02-09,50
2020-02-10,89
2020-02-11,112
2020-02-12,65
2020-02-13,81
2020-02-14,166
2020-02-15,113
2020-02-16,71
2020-02-17,171
2020-02-18,188
2020-02-19,142
2020-02-20,128
2020-02-21,98
2020-02-22,115
2020-02-23,92
2020-02-24,104
2020-02-25,103
2020-02-26,113
2020-02-27,80
2020-02-28,86
2020-02-29,81
2020-03-01,96
2020-03-02,115
2020-03-03,87
2020-03-04,132
2020-03-05,110
2020-03-06,120
2020-03-07,87
2020-03-08,113
2020-03-09,234
2020-03-10,338
2020-03-11,105
2020-03-12,92
2020-03-13,98
2020-03-14,63
2020-03-15,45
2020-03-16,137
2020-03-17,82
2020-03-18,99
2020-03-19,102
2020-03-20,80
2020-03-21,36
2020-03-22,37
2020-03-23,56
2020-03-24,52
2020-03-25,59
2020-03-26,43
2020-03-27,51
2020-03-28,50
2020-03-29,33
2020-03-30,47
2020-03-31,125
2020-04-01,72
2020-04-02,45
2020-04-03,54
2020-04-04,346
2020-04-05,138
2020-04-06,64
2020-04-07,20
